condsFile,readyMsg,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,image.started,image.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_2.started,text_2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/5549_5.png,0,0,0,0,0,0,0,29,12.20547202898888,None,13.502015134959947,13.615389727987349,5,6.96,1.0017865062109195,None,14.200042100972496,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6550_1.png,0,0,0,0,0,1,1,41,,,21.481676887953654,21.581797153980006,1,1.243,1.002344372391235,None,22.18453386996407,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/8195_8.png,0,0,0,0,0,2,2,55,,,23.751488405978307,23.865151424950454,8,1.528,1.0002041154075414,None,24.4491441299906,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/1912_0.png,0,0,0,0,0,3,3,15,,,26.29905853397213,26.398334769997746,0,1.979,1.0015974213602021,None,26.999348996963818,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/3982_9.png,0,0,0,0,0,4,4,24,,,29.298499755968805,29.39913712500129,9,1.229,1.0000974974245764,None,29.997939469991252,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6753_4.png,0,0,0,0,0,5,5,43,,,31.54899892199319,31.648969219997525,4,4.96,1.0025039584143087,None,32.249066558957566,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/5986_3.png,0,0,0,0,0,6,6,31,,,37.532203540962655,37.63133585895412,5,1.262,1.0013216953375377,None,38.23221405595541,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6557_9.png,0,0,0,0,0,7,7,42,,,39.817538667994086,39.931426619994454,9,0.976,1.0030292013543658,None,40.515554081997834,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/2704_0.png,0,0,0,0,0,8,8,20,,,41.83139650296653,41.93238858995028,1,3.578,0.9991173814050853,None,42.53669834299944,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/972_2.png,0,0,0,0,0,9,9,8,,,46.415949082002044,46.53131749795284,2,0.876,1.001117542386055,None,47.11532624496613,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/5324_2.png,0,0,0,0,0,10,10,28,,,48.31457223498728,48.41527275700355,4,6.112,1.005852198402863,None,49.01478906197008,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7433_5.png,0,0,0,0,0,11,11,48,,,55.44852691696724,55.54781302198535,5,1.045,1.000353912357241,None,56.14777598797809,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/3456_3.png,0,0,0,0,0,12,12,22,,,57.51378127298085,57.61433060298441,3,1.029,0.9999565524049103,None,58.21434827399207,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/3615_6.png,0,0,0,0,0,13,13,23,,,59.56446592998691,59.66483501298353,2,0.579,1.0014274763525464,None,60.26507534895791,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7811_0.png,0,0,0,0,0,14,14,53,,,61.16429823898943,61.264307812962215,0,1.427,1.0025255003711209,None,61.86504448298365,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/2445_6.png,0,0,0,0,0,15,15,18,,,63.61764593597036,63.73088846600149,6,2.112,1.0020874253823422,None,64.31462614395423,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/4139_5.png,0,0,0,0,0,16,16,25,,,66.74748329399154,66.84834212996066,3,7.677,1.0023305953363888,None,67.44828954100376,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6362_4.png,0,0,0,0,0,17,17,37,,,75.45091669395333,75.56402143795276,4,3.761,1.0036807674332522,None,76.14914974197745,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6300_1.png,0,0,0,0,0,18,18,36,,,80.23343627998838,80.34800783195533,1,2.096,1.0015854053781368,None,80.93052590294974,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/8645_1.png,0,0,0,0,0,19,19,56,,,83.35038059495855,83.46461892698426,1,0.744,1.000445305428002,None,84.04715916095302,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/9166_6.png,0,0,0,0,0,20,20,58,,,85.1164164780057,85.23121192998951,6,1.644,1.001786423381418,None,85.81451167695923,None,001,1,2020_Feb_28_1407,blockedTrials,2020.1.1,60.5527085226924,
