condsFile,readyMsg,stimFile,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,image.started,image.stopped,rating.response,rating.rt,rating.started,rating.stopped,text_2.started,text_2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/5986_3.png,0,0,0,0,0,18,18,31,,,143.76645941502647,143.88078107702313,3,2.142,0.9997034755069762,None,144.46390390599845,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6550_1.png,0,0,0,0,0,19,19,41,,,146.92995754402364,147.03102109604515,1,2.045,1.0002348894486204,None,147.63064691005275,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6443_6.png,0,0,0,0,0,20,20,38,,,149.99726255901624,150.09638034604723,6,3.578,1.002118980512023,None,150.6972752280417,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/3982_9.png,0,0,0,0,0,21,21,24,,,154.61331670201616,154.71260476805037,9,2.028,0.9991786944447085,None,155.29637744900538,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6104_1.png,0,0,0,0,0,22,22,33,,,157.64482061000308,157.74634818703635,1,1.929,1.0036282734945416,None,158.34666546602966,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7863_0.png,0,0,0,0,0,23,23,54,,,160.61373806803022,160.7129430420464,0,2.828,1.0161347615066916,None,161.29626461100997,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7578_9.png,0,0,0,0,0,24,24,50,,,164.47947499802103,164.57950654404704,9,2.145,1.0154426034423523,None,165.18009430501843,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/7811_0.png,0,0,0,0,0,25,25,53,,,167.65018034301465,167.7627861869987,0,2.128,1.0162429414922372,None,168.36332100903383,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/1100_7.png,0,0,0,0,0,26,26,10,,,170.81269530003192,170.91348912304966,7,2.411,1.003142808447592,None,171.5134519310086,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6170_2.png,0,0,0,0,0,27,27,35,,,174.24955297500128,174.36344961001305,2,2.046,0.999759282451123,None,174.9465768870432,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/6753_4.png,0,0,0,0,0,28,28,43,,,177.31254588405136,177.41255020501558,7,2.46,1.0006283714901656,None,178.01334424002562,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/9086_0.png,0,0,0,0,0,29,29,57,,,180.79565396200633,180.8957947260351,0,2.044,1.0022789584472775,None,181.49799535801867,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
imageBlock.csv,Get Ready to Classify a Bunch of Images!,stims/5772_9.png,0,0,0,0,0,30,30,30,,,183.86343379702885,183.9628490130417,9,1.643,1.0031328844488598,None,184.56430083501618,None,001,15,2020_Feb_28_1459,blockedTrials,2020.1.1,60.874932637768744,
